facility_name,Final_Score,Relevance,tender_score,matched_name,match_score,registered_business_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
Swan Hill Abattoirs,0.31,Medium,2.20,cowra abattoir,66.67,WOODWARD FOODS AUSTRALIA PTY LTD,VIC,Swan Hill,334C RIVER RD,3585,1111,Meat Processing,Meat processing & rendering,93623470575.00,623470575.00,https://www.woodwardfoods.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004457
Labelmakers - Somerton,0.31,Medium,2.25,labelmakers group,78.57,LABELMAKERS GROUP PTY LTD,VIC,Somerton,55 AUSTRAK DR,3062,1911,Polymer Film and Sheet Packaging Material Manufacturing,Packaging Material Manufacturing,41114717814.00,114717814.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006873
GLASSMETAL INDUSTRIES PTY LTD,0.31,Medium,2.20,glassmetal industries,100.00,GLASSMETAL INDUSTRIES PTY LTD,VIC,Moolap,57-77 MOON ST,3221,2010,Glass and Glass Product Manufacturing,"Manufacture of vitreous enamel products such as signs, murals, architectural panels and heaters.",81006652259.00,6652259.00,http://www.glassmetal.com.au,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2014/jurisdiction-facility/00004681
Viridian Clayton,0.30,Medium,2.20,viridian glass,73.33,VIRIDIAN GLASS PTY LTD,VIC,Clayton South,13-27 WHITESIDE RD,3169,2010,Glass and Glass Product Manufacturing,Manufacture of glass products,68006904052.00,6904052.00,http://www.viridianglass.com/default.aspx,2018/2019,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2019/jurisdiction-facility/00029088
Lancefield Landfill,0.30,Medium,0.00,,59.26,MACEDON RANGES SHIRE COUNCIL,VIC,Lancefield,BAYNTON RD,3435,2921,Waste Treatment and Disposal Services,Landfill,42686389537.00,,http://www.mrsc.vic.gov.au/,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2011/jurisdiction-facility/00006996
Hannanprint Victoria,0.30,Medium,2.08,hannanprint victoria,100.00,HANNANPRINT VICTORIA PTY LIMITED,VIC,Noble Park,504 PRINCES HWY,3174,1611,Printing,Heatset printing of magazines and catalogues,29100817712.00,100817712.00,http://www.hpvic.com.au,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2017/jurisdiction-facility/00022781
Nylex Industrial Products,0.30,Medium,2.21,cmi industrial,83.33,NYLEX CORP P/L,VIC,Sale,35 MCGHEE ST,3850,1911,Polymer Film and Sheet Packaging Material Manufacturing,Production of vinyl film/sheet and self adhesive products,21084725002.00,84725002.00,http://www.nylex.com.au,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2008/jurisdiction-facility/00004616
Beechworth Road Landfill,0.30,Medium,0.00,,60.47,WODONGA RURAL CITY COUNCIL,VIC,Wodonga,BEECHWORTH RD,3690,2921,Waste Treatment and Disposal Services,Landfill,63277160265.00,,http://www.wodonga.vic.gov.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00007011
Casey Joint Venture User Group,0.30,Medium,0.00,,64.15,CASEY CITY COUNCIL,VIC,Cranbourne,"LOT 7,8,9,10,11 & 12 STEVENSONS RD",3977,2921,Waste Treatment and Disposal Services,Landfilling,43320295742.00,,http://www.casey.vic.gov.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00022771
Carisbrook Landfill,0.30,Medium,0.00,,63.16,CENTRAL GOLDFIELDS SHIRE COUNCIL,VIC,Carisbrook,POTTS LA,3464,2921,Waste Treatment and Disposal Services,Waste Disposal,82120379784.00,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022780
Ensign Laboratories Pty Ltd,0.30,Medium,1.60,ensign laboratories proprietary,100.00,ENSIGN LABORATORIES PROPRIETARY LIMITED,VIC,Mulgrave,490-500  WELLINGTON RD,3170,1841,Human Pharmaceutical and Medicinal Product Manufacturing,"Manufacture of medicinal products, aerosols (insecticides, personal insect repellants, air fresheners, personal deodorants), sunscreens, toothpaste, body washes, skin cleansers, hair care and detergents.",11004395242.00,4395242.00,http://www.ensignlab.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00027483
Myrtleford Landfill,0.29,Medium,0.00,,63.16,ALPINE SHIRE COUNCIL,VIC,Myrtleford,PT C/A 6 MORRISONS LA,3737,2921,Waste Treatment and Disposal Services,Municipal solid waste landfill,14821390281.00,,,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00006987
Iveco trucks,0.28,Medium,3.38,iveco trucks australia,100.00,IVECO TRUCKS AUSTRALIA LTD,VIC,Dandenong,1-27 PRINCES HWY,3175,2311,Motor Vehicle Manufacturing,Heavy Truck Manufacturing,86004065061.00,4065061.00,http://www.iveco.com.au,2018/2019,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2019/jurisdiction-facility/00004026
DANIEL ROBERTSON AUST P/L,0.27,Medium,1.12,ers aust p l,80.00,DANIEL ROBERTSON AUST P/L,VIC,Nunawading,58-74 STATION ST,3131,2021,Clay Brick Manufacturing,Manufacture of clay bricks and pavers,65005008622.00,5008622.00,http://www.danielrobertson.com.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00004201
Mildura Operations,0.26,Medium,2.38,hv operations,86.96,MURRAY BASIN TITANIUM P/L,VIC,Mildura,2/53 EIGHTH ST,3500,990,Other Non-Metallic Mineral Mining and Quarrying,"Heavy mineral concentrate is processed to produce rutile, zircon and ilmenite.",66082497827.00,82497827.00,http://www.cablesands.com.au/mbt,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00016680
Buchan,0.25,Medium,0.00,,47.06,GRAYMONT (VICTORIA) PTY LTD,VIC,Buchan,GELANTIPY RD,3885,990,Other Non-Metallic Mineral Mining and Quarrying,Limestone quarrying,78055274569.00,55274569.00,http://www.graymont.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029408
Geelong Operations,0.25,Medium,2.38,glng operations,90.91,ALRECO PTY LTD,VIC,Moolap,80 BUCKLEY GV,3221,2139,Other Basic Non-Ferrous Metal Manufacturing,Recycling aluminium salt slag and dross,56132731018.00,132731018.00,http://www.mhml.com.au/aluminium.asp,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2014/jurisdiction-facility/00004185
GEELONG WOOL COMBING LTD,0.24,Low,2.20,riverina wool combing,75.00,GEELONG WOOL COMBING LTD,VIC,Corio,CNR HEALES RD & BRODERICK RD,3214,1311,Wool Scouring,Early stage wool processing including scouring and associated effluent treatment,22007072773.00,7072773.00,http://www.gwc.net.au,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00016669
CMI Forge,0.23,Low,2.20,overall forge,71.43,NATIONAL FORGE LTD,VIC,Footscray West,465 SOMERVILLE RD,3012,2110,Iron Smelting and Steel Manufacturing,Forging & heat treatment of steel and aluminium automotive parts.,91052470327.00,52470327.00,http://www.cmilimited.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00006628
SIGMA PHARMACEUTICALS P/L,0.22,Low,2.08,inova pharmaceuticals,83.33,SIGMA PHARMACEUTICALS P/L,VIC,Clayton,1408 CENTRE RD,3168,1841,Human Pharmaceutical and Medicinal Product Manufacturing,"Manufacture, filling, and packaging of liquid and cream pharmaceuticals, both sterile and non-sterile grade.",88004118594.00,4118594.00,,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00024801
SHELTON TIMBER TREATMENT CO PTY LTD,0.22,Low,2.20,shelton timber treatment,100.00,SHELTON TIMBER TREATMENT CO PTY LTD,VIC,Colac,45 DRAPERS RD,3250,1413,Timber Resawing and Dressing,Treating softwood with chemical preservative(s),55004390185.00,4390185.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00021345
LORIMER TIMBER PTY LTD,0.22,Low,2.20,gympie timber,66.67,LORIMER TIMBER PTY LTD,VIC,Dandenong South,29 PRINCES HWY,3175,1499,Other Wood Product Manufacturing n.e.c.,Timber Treatment,,6615345.00,http://davidstimber.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00021338
Sunshine Power Station,0.22,Low,2.20,exmouth power station,76.47,ENERGEX LTD,VIC,Albion,CARRINGTON RESERVE 8 HULLET ST,3020,2611,Fossil Fuel Electricity Generation,Peak-shaving operation electricity generation station using natural gas as a fuel.,40078849055.00,78849055.00,,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00004211
Geelong Cement,0.22,Low,0.00,,60.00,ADELAIDE BRIGHTON CEMENT LTD,VIC,Fyansford,GEELONG CEMENT HYLAND ST,3221,2031,Cement and Lime Manufacturing,"Cement Manufacturing, including grinding and pyroprocessing of limestone, storage and despatch of portland and blended cements.",96007870199.00,7870199.00,http://www.adbri.com.au,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2001/jurisdiction-facility/00004076
HYLAND HIGHWAY LANDFILL,0.21,Low,0.00,,59.26,LATROBE CITY COUNCIL,VIC,Loy Yang,HYLAND HIGHWAY,3844,2921,Waste Treatment and Disposal Services,Landfill,92472314133.00,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029244
AUSTRALIAN BUILDING CERAMICS P/L,0.20,Low,0.00,,64.52,AUSTRALIAN BUILDING CERAMICS P/L,VIC,Dandenong,398-424 HAMMOND RD,3175,2029,Other Ceramic Product Manufacturing,Manufacture of ceramic tiles,50006334541.00,6334541.00,http://www.granito.com.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00004172
Hanson Harkaway Quarry,0.20,Low,0.00,,57.14,HANSON CONSTRUCTION MATERIALS P/L,VIC,Harkaway,1-49 NOACK RD,3806,911,Gravel and Sand Quarrying,Quarrying,90009679734.00,9679734.00,http://www.hanson.com.au,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00004510
Geelong Treated Timber,0.20,Low,2.20,shelton timber treatment,78.26,MISSAY P/L,VIC,Fyansford,315 HAMILTON HWY,3221,1413,Timber Resawing and Dressing,"Retail, wholesale and manufacture of treated pine timber products.",81007205414.00,7205414.00,http://www.atpgeelong.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00021352
Pittong,0.19,Low,0.00,,52.63,SUVO MINERALS AUSTRALIA PTY LTD,VIC,Linton,PARISH OF ARGYLE C/A D4 & D5,3360,990,Other Non-Metallic Mineral Mining and Quarrying,"Non-metallic mineral product manufacturing including mining, wet refining and drying of kaolin",51004584141.00,4584141.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00007639
Athena Gas Plant,0.19,Low,0.00,,53.33,COOPER ENERGY (CH) PTY LTD,VIC,Port Campbell,192 BRUMBYS RD,3269,700,Oil and Gas Extraction,Processing of raw natural gas from offshore fields to pipeline quality for domestic and industrial uses.,70615355023.00,615355023.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00023854
Beechworth Quarry,0.19,Low,0.00,,60.61,SIBELCO AUSTRALIA LIMITED,VIC,Beechworth,FLAT ROCK RD,3747,990,Other Non-Metallic Mineral Mining and Quarrying,Mining of granite and processing of feldspar and other tailings products,20000971844.00,971844.00,http://www.sibelco.com.au,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2015/jurisdiction-facility/00029415
Blackmores Braeside,0.18,Low,0.00,,52.63,BLACKMORES LIMITED,VIC,Braeside,217-221 GOVERNOR RD,3195,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Manufacture of pharmaceutical products,35009713437.00,9713437.00,http://www.blackmores.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030010
Portland Pine,0.18,Low,1.60,portland pine products proprietary,100.00,PORTLAND PINE PRODUCTS PROPRIETARY LIMITED,VIC,Heywood,MOUNT GAMBIER RD,3304,1411,Log Sawmilling,Timber Mill,90004485992.00,4485992.00,http://www.akd.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030664
Perfection Packaging,0.18,Low,0.00,,62.86,PRO PAC GROUP PTY LIMITED,VIC,Dandenong South,19-25 NATHAN RD,3175,1611,Printing,"Printing, laminating and converting of flexible packaging materials.",50095393776.00,95393776.00,http://www.perfectionpackaging.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004197
Geelong Automotive,0.18,Low,0.00,,51.61,CSR VIRIDIAN LTD,VIC,Geelong North,24 MACKEY ST,3215,2010,Glass and Glass Product Manufacturing,Manufacture and distribution of automotive safety glass including laminated windscreens and toughened side and rear lights,68006904052.00,6904052.00,http://www.viridianglass.com,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00019272
Forest St,0.18,Low,0.00,,55.56,REGAL CREAM PRODUCTS PTY LTD,VIC,Colac,91–149 FOREST ST,3250,1131,Milk and Cream Processing,Dairy product manufacturing,11005144481.00,5144481.00,http://www.bulla.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030641
Dairy Farmers - Simpson,0.18,Low,0.00,,55.81,AUSTRALIAN CO-OP FOODS LTD,VIC,Simpson,LAVERS HILL RD,3266,1131,Milk and Cream Processing,Cheese Manufacturing,65010308068.00,10308068.00,http://www.dairyfarmers.com.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00004533
Australian Centre for Disease Preparedness,0.18,Low,0.00,,64.52,CSIRO,VIC,Geelong East,5 PORTALRINGTON RD,3219,6910,Scientific Research Services,"Scientific and industrial research facility specialising in livestock industry research, facility maintenance and office administration.",41687119230.00,,http://www.csiro.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022788
Laverton North,0.18,Low,0.00,,57.89,VISY INDUSTRIES AUSTRALIA PTY LTD,VIC,Laverton North,46-52 DOHERTYS RD,3026,2922,Waste Remediation and Materials Recovery Services,Reprocessing of glass,74004337615.00,4337615.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030904
Boronia,0.18,Low,0.00,,55.56,GLAXOSMITHKLINE AUSTRALIA PTY LTD,VIC,Boronia,1061 MOUNTAIN HWY,3155,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Manufacturing pharmaceuticals,47100162481.00,100162481.00,http://www.gsk.com.au,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2023/jurisdiction-facility/00004854
BENDIGO,0.18,Low,0.00,,50.00,LACTALIS AUSTRALIA PTY LTD,VIC,Bendigo,93 BANNISTER ST,3550,1131,Milk and Cream Processing,Processing and packaging of dairy and Soy products,56072928879.00,72928879.00,http://www.parmalat.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006840
Mulgrave Site,0.18,Low,0.00,,54.55,HOSPIRA AUSTRALIA PTY LTD,VIC,Mulgrave,1-39 LEXIA PL,3170,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Sterile pharmaceutical product manufacture and distribution,58097064330.00,97064330.00,http://www.hospira.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006781
Kenworth Trucks,0.18,Low,0.00,,57.14,PACCAR AUSTRALIA PTY LTD,VIC,Bayswater North,20-64 CANTERBURY RD,3153,2311,Motor Vehicle Manufacturing,"Assembly of trucks, minor fabrication of parts",43004669667.00,4669667.00,http://www.kenworth.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004140
Siltech PMR,0.18,Low,0.00,,54.55,MACH SIX PTY LTD,VIC,Campbellfield,7/220 BARRY RD,3061,2921,Waste Treatment and Disposal Services,Silver bullion manufacturin,39157714684.00,157714684.00,http://www.siltech.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030630
Top Cut Foods - Gilbertson Laverton,0.18,Low,0.00,,62.50,SIMPLOT AUSTRALIA (PROPERTIES) PTY LIMITED,VIC,Laverton,20 GILBERTSON RD,3028,1111,Meat Processing,Meat processing,68070579485.00,70579485.00,http://www.simplot.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00030633
Sun Pharma Controlled Substances Division,0.18,Low,0.00,,54.55,SUN PHARMACEUTICAL INDUSTRIES (AUSTRALIA) PTY LTD,VIC,Port Fairy,199 PRINCES HWY,3284,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Extraction of bulk narcotic pharmaceuticals from poppies. Synthesis of narcotic derivatives.,64130119603.00,130119603.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004374
SILTECH PTY LTD,0.18,Low,0.00,,53.33,QUANTUM TECHNICAL SERVICES PTY LTD,VIC,Keon Park,6 DUNSTANS CT,3073,2921,Waste Treatment and Disposal Services,Photographic chemical processing and silver refining,23004284315.00,4284315.00,http://www.siltech.com.au,2012/2013,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2013/jurisdiction-facility/00004280
UNIDRIVE P/L,0.18,Low,0.00,,57.14,UNIDRIVE P/L,VIC,Clayton,45-49 MCNAUGHTON RD,3168,2299,Other Fabricated Metal Product Manufacturing n.e.c.,"Forging, machining and assembly of automotive components",86000109820.00,109820.00,http://www.unidrive.com,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00016654
GUILDTOWN PTY LTD,0.18,Low,2.20,guildtown,100.00,GUILDTOWN PTY LTD,VIC,Traralgon,38 EASTERN RD,3844,1499,Other Wood Product Manufacturing n.e.c.,Manufacturer of treated pine posts and sawn timber,15007264280.00,7264280.00,http://www.jelfor.com.au,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2023/jurisdiction-facility/00021344
CRAIGIEBURN,0.17,Low,0.00,,47.37,NOTE PRINTING AUSTRALIA LIMITED,VIC,Craigieburn,1-9 POTTER ST,3064,1611,Printing,"Manufacturing banknotes, passports and other security documents",86082630671.00,82630671.00,http://www.noteprinting.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006120
WINCHESTER AUST LTD,0.17,Low,2.20,winchester aust,100.00,WINCHESTER AUST LTD,VIC,Point Henry,65 HAYS RD,3221,2299,Other Fabricated Metal Product Manufacturing n.e.c.,Ammunition manufacturing,50004645318.00,4645318.00,,2018/2019,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2019/jurisdiction-facility/00020305
STEELE & LINCOLN FOUNDRY (VIC) P/L,0.16,Low,2.20,allen foundry,70.00,STEELE & LINCOLN FOUNDRY (VIC) P/L,VIC,Dandenong,318 HAMMOND RD,3175,2110,Iron Smelting and Steel Manufacturing,Steel and iron casting,85005086984.00,5086984.00,http://www.steelinc.com.au,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2001/jurisdiction-facility/00006761
BILLMAN'S FOUNDRY PTY LTD,0.16,Low,2.20,billman s foundry,100.00,BILLMAN'S FOUNDRY PTY LTD,VIC,Castlemaine,7 LANGSLOW ST,3450,2121,Iron and Steel Casting,Ferrous and non-ferrous foundry,67006847865.00,6847865.00,http://www.billmansfoundry.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006759
Sunshine,0.16,Low,1.48,sunshine coast regional council,100.00,ALLEN FOUNDRY COMPANY PTY LTD,VIC,Sunshine,3 HULETT ST,3020,2110,Iron Smelting and Steel Manufacturing,Manufacture of iron and steel castings,61004231814.00,4231814.00,http://www.allenfoundry.com.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2022/jurisdiction-facility/00006629
OneSteel Martin Bright,0.16,Low,2.20,onesteel nsw,80.00,ONESTEEL MBS P/L,VIC,Somerton,CLIFFORDS RD,3062,2221,Structural Steel Fabricating,"Production of semi finished drawn rods, bars, and shapes in a variety of steel grades. Chrome plating.",76096273979.00,96273979.00,http://www.onesteel.com,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2008/jurisdiction-facility/00022816
NovaPower Traralgon,0.16,Low,0.00,,57.89,PACIFIC ENERGY (PEAKING POWER) PTY LTD,VIC,Traralgon East,79 EASTERN RD,3844,2611,Fossil Fuel Electricity Generation,Electricity generation,44119925334.00,119925334.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030651
J Furphy & Sons Pty Ltd,0.14,Low,1.60,j furphy and sons proprietary,100.00,J FURPHY & SONS PROPRIETARY LIMITED,VIC,Shepparton,106 NEW DOOKIE RD,3630,2221,Structural Steel Fabricating,Metal product manufacturing and coating/ galvanizing,21004156763.00,4156763.00,http://www.furphys.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00007095
BENDIGO BRICK P/L,0.12,Low,0.00,,59.46,BENDIGO BRICK P/L,VIC,Bendigo,JEWELL CT,3550,2021,Clay Brick Manufacturing,Manufacture of clay bricks and pavers,58006177064.00,6177064.00,http://www.bendigobrick.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00004124
Geelong Distribution Centre,0.11,Low,0.00,,57.69,AMEROPA AUSTRALIA PTY LTD,VIC,Corio,55 HEALES RD,3214,1831,Fertiliser Manufacturing,"Fertiliser import, blending and distribution.",21009504394.00,9504394.00,http://www.impactfertilisers.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00023844
Geelong Distribution Centre,0.11,Low,0.00,,57.69,HI-FERT P/L,VIC,Lara,OLD MELBOURNE RD,3212,1831,Fertiliser Manufacturing,"Fertiliser import, blending and distribution. Some additional coating of fertiliser with trace elements.",76008038962.00,8038962.00,http://www.hifert.com.au,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00023843
GAINSBOROUGH HARDWARE INDUSTRIES LIMITED,0.11,Low,1.12,gainsborough hardware industries,100.00,GAINSBOROUGH HARDWARE INDUSTRIES LIMITED,VIC,Blackburn,190  WHITEHORSE RD,3130,2299,Other Fabricated Metal Product Manufacturing n.e.c.,"Manufacture of door furniture including diecast, electroplating and assembly",25004792269.00,4792269.00,http://www.gainsboroughhardware.com.au,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2012/jurisdiction-facility/00022845
Minerva Gas Projects No. 3 and 4,0.11,Low,0.00,,53.85,BHP BILLITON PETROLEUM P/L,VIC,Port Campbell,OFFSHORE MINERVA GAS FIELD; 10KM SOUTH OF,3269,700,Oil and Gas Extraction,Drilling and production testing of the Minerva 3 and 4 offshore wells using a semi-submersible SEDCO 702 Mobile Offshore Drilling Unit,97006918832.00,6918832.00,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00022770
Boral Quarry Sandy Creek,0.10,Low,0.00,,63.41,DAVEGALE PTY LTD,VIC,Little River,390 SANDY CREEK RD,3211,911,Gravel and Sand Quarrying,Sand and Gravel Extraction and Processing (washing) Plant,16096359527.00,96359527.00,http://www.boral.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030895
Riversdale Mill,0.10,Low,0.00,,55.56,E.P. ROBINSON PTY. LIMITED,VIC,Newtown,13 BRIDGE ST,3220,1311,Wool Scouring,Wool Scouring and Carbonising,44004942572.00,4942572.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00017682
"AUST GOLD ALLIANCE P/L,GOLD CORP&JOHNSON",0.10,Low,1.12,ers aust p l,80.00,"AUST GOLD ALLIANCE P/L,GOLD CORP&JOHNSON",VIC,Thomastown,339 SETTLEMENT RD,3074,2139,Other Basic Non-Ferrous Metal Manufacturing,Manufacture of precious metal products,33824096614.00,,http://www.agrmatthey.com.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00004155
Lang Lang,0.09,Low,0.00,,54.55,METRO QUARRY GROUP PTY LTD,VIC,Lang Lang,375 MCDONALDS TRACK,3984,911,Gravel and Sand Quarrying,"Sand quarrying, washing or screening",64159795703.00,159795703.00,,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2023/jurisdiction-facility/00030679
Dairy Farmers Shepparton,0.09,Low,0.00,,56.52,MIDLAND MILK P/L,VIC,Shepparton,123 VAUGHAN ST,3630,1131,Milk and Cream Processing,Milk processing,75004317364.00,4317364.00,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00009134
Fisher's Timber Preservation,0.04,Low,0.00,,63.16,FISHERS (LATROBE VALLEY) PROPRIETARY LIMITED,VIC,Morwell,30 SWAN RD,3840,1413,Timber Resawing and Dressing,Pallet manufacturing and tru-core water based timber treatment,68005586694.00,5586694.00,http://www.losp.com.au,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2014/jurisdiction-facility/00021342
